Tamaño,Tiempo Promedio (ns),Comparaciones Promedio,Asignaciones Promedio
10000,2052070,235376,372574
20000,3384325,510827,805316
30000,5541935,800709,1259706
40000,7720125,1101497,1730384
50000,8148155,1409858,2212494
60000,9846375,1721522,2699697
70000,14516535,2038589,3194587
80000,13221105,2362982,3700657
90000,18071480,2690304,4211449
100000,23803695,3019599,4724971
150000,35619625,4700726,7344170
200000,29829975,6439200,10049438
250000,28176225,8198328,12786242
300000,33580165,10001247,15588142
350000,44757385,11833088,18433547
400000,50859855,13678355,21298965
450000,47960245,15533881,24180148
500000,57784890,17397151,27073002
550000,66167940,19285122,30002437
600000,74821570,21202361,32975487
650000,74297125,23130128,35965120
700000,83665710,25065875,38966599
750000,94716745,27008337,41977811
800000,94804124,28956579,44998320
850000,102533364,30910037,48025608
900000,105273365,32868287,51061252
950000,122567785,34829231,54099971
1000000,120321395,36793726,57144758
1100000,137461540,40770032,63304314
1200000,155538985,44804994,69552109
1300000,185582540,48860078,75830172
1400000,211623325,52931330,82133049
1500000,270664185,57017063,88456602
1600000,281263475,61113940,94797946
1700000,220524880,65220509,101153095
1800000,241659515,69335809,107521366
1900000,247524115,73458802,113901501
2000000,265272410,77587562,120289356
2100000,273586165,81724782,126689915
2200000,295056410,85941260,133211767
2300000,321129020,90169639,139748064
2400000,319746835,94410075,146305022
2500000,337570140,98660183,152875161
2600000,351011790,102919957,159459805
2700000,375546345,107187980,166058135
2800000,390897990,111463378,172666349
2900000,408806970,115745872,179286270
3000000,424140745,120033813,185913229
3100000,438935960,124328049,192550711
3200000,454507105,128626770,199192563
3300000,474876535,132932137,205847754
3400000,492119200,137241251,212505591
3500000,528820320,141554477,219170824
3600000,584786305,145872325,225843909
3700000,596695635,150192302,232517219
3800000,573663665,154517546,239201989
3900000,579054695,158844825,245888366
4000000,601423570,163175193,252578833
4100000,701739705,167509245,259275602
4200000,781635805,171850711,265984275
4300000,638235495,176263318,272797183
4400000,663635505,180682361,279621435
4500000,668480480,185107972,286454946
4600000,704665585,189539941,293299011
4700000,712170869,193976465,300148170
4800000,716570510,198420398,307010713
4900000,735530475,202868000,313876521
5000000,775020840,207321053,320752578
